trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.6, 'e': 0.21224797382674307}",20,8,25.34200006841572,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.6, 'e': 0.21013607120076475}",20,10,19.407209547379708,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.6, 'e': 0.20804518235702046}",30,18,24.41603590975609,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.6, 'e': 0.20597509820488347}",30,7,38.014793528000325,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.6, 'e': 0.20392561173421345}",20,11,15.92634960816179,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.6, 'e': 0.2018965179946554}",20,13,15.61563916808689,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.6, 'e': 0.1998876140751445}",20,10,15.878251165909473,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.6, 'e': 0.19789869908361468}",20,0,28.467230581855706,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.6, 'e': 0.19592957412690934}",30,20,16.87466529553685,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.6, 'e': 0.19398004229089189}",20,10,22.03875139772867,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.6, 'e': 0.1920499086207541}",35,0,49.01098466877275,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
166,False,"{'a': 0.6, 'e': 0.19013898010152053}",25,13,20.618318942623368,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.6, 'e': 0.1882470656387468}",25,17,16.372059497055705,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.6, 'e': 0.18637397603941}",30,19,18.975854000910005,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.6, 'e': 0.1845195239929893}",20,0,30.061342416469014,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.6, 'e': 0.18268352405273466}",20,4,27.48376820591374,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.6, 'e': 0.1808657926171221}",30,8,32.538799350217836,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.6, 'e': 0.17906614791149325}",20,12,14.947229462124422,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
